Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Building Web APIs with ASP.NET Core,"Web APIs drive the most popular web and mobile apps, as well as internet-enabled devices ranging from fridges to phones. Curious about how to build a web API of your own? In this course, instructor Christian Wenz shows you how, taking you step by step through the process of building a web API with ASP.NET Core 3.1, the open-source framework for Windows, macOS, and Linux. Christian explains how routing works and how data is modeled in ASP.NET Core. He provides coverage of Entity Framework Core to help you grasp how data models in your projects connect to underlying databases. Plus, he covers essential topics such as API versioning, CRUD operations, securing your API, and more.",Course,2021-01-11 04:36 UTC,N/A,false,N/A,
Learning C#,"The C# language got its start on Windows, but today you can find it almost everywhere.  Whether it’s running on the cloud, to desktops with MacOS and Linux, to mobile operating systems like Android and iOS, C# has grown into a mature, powerful language for almost any programming purpose.
In this course, Joe Marini dives into the fundamentals of C#, starting with a basic overview of language constructs like program flow and data types. He then gets into more advance topics such as functions, object-oriented programming techniques, and string processing. After this course, you’ll have a better understanding of C#, and how its combination of power, simplicity, and expressiveness make it an extremely versatile programming language that can be used for almost any scenario.
<p>This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice alongside the course content to advance your programming skills.</p>",Course,2023-06-01 03:25 UTC,N/A,false,N/A,
Figure Drawing: Tonal Rendering,"How can you make a good figure drawing into a great figure drawing? Give it drama with tonal rendering. This course—taught on the iPad Pro—provides you with step-by-step demonstrations that can help you enhance the dimensionality and drama of your figure drawings using tonal rendering techniques. Instructor Amy Wynne starts by demonstrating how to create a five-part tonal gradient, and then shows how to apply this to simple 3D geometric shapes such as an egg, a cylinder, and a block; these shapes serve as the building blocks for constructing your figures. Amy also shows how to build the figure from the inside out—from structure to tonality—and apply silhouette and camouflage using inspiring master drawings as examples. Upon completing this course, you'll be equipped with a few simple techniques that can help you add beautiful lights and shadows to your figure sketches.",Course,2020-04-10 15:29 UTC,N/A,false,N/A,
Cybersecurity with Cloud Computing,"More and more companies are migrating their applications and infrastructure to the cloud, shifting operational aspects to service providers such as Microsoft and Amazon. However, cloud computing is a shared responsibility, especially when it comes to keeping your data, users, and systems safe. In this course, Malcolm Shore outlines the major forms of cloud technology, its benefits and risks, and the cybersecurity standards and body of knowledge required to mitigate those risks. He introduces concepts such as software as a service (SaaS), platform as a service (PaaS), and infrastructure as a service (IaaS) and the different deployment models available. He then reviews offerings from Microsoft Azure, Amazon Web Services, and Google Apps. Malcolm also shows the Security as a Service (SecaaS) capability of each platform, which can be used to identify unauthorized access and put cloud security defenses like encryption, logging, and monitoring into place.",Course,2022-06-17 02:17 UTC,N/A,false,N/A,
Technology for Product Managers,"Product managers must know technology basics. They need to have the vocabulary to speak to engineers, UX designers, and executives-and translate messages between these very different stakeholders. A product manager should know how the internet works, how front end differs from back end, what the major programming languages are, and why web and mobile developers are so in demand. This course provides an overview of the basics, including terminology and trends that will affect your work and collaboration with your team.<br><br>

Instructor Cole Mercer reviews the fundamental building blocks of modern software applications-from the web that connects all the working parts, to the data, users, and the build tools that developers use every day. He discusses the differences between desktop, web, and mobile development, and reviews the role of version control systems in deployment and release.",Course,2023-08-07 17:05 UTC,N/A,false,N/A,
Cert Prep: Unity Certified Associate Game Developer Scripting with C#,"Become Unity certified and show employers you have the Unity skills they are looking for. Improve your chances of landing that dream job doing what you love most—making games, architectural visualizations, or films. This course helps you study for the sections of the Unity Certified Associate: Game Developer exam that deal with scripting and publishing. Instructor Alan Thorn covers the basics of scripting, demonstrating how to create a C# script in Visual Studio, print to the console, and create useful scripts that make 3D objects move and react. He also discusses making timed behaviors, generating path-finding data for helping nonplayer characters (NPCs) navigate environments intelligently, and using finite-state machines to help NPCs make decisions. Plus, learn how to create convincing patrol, chase, and attack states for an enemy character.",Course,2023-06-08 15:36 UTC,N/A,false,N/A,
Learning Kubernetes (2018),"Kubernetes is the world's most popular open-source container orchestration engine. It offers the ability to schedule and manage containers—Docker or otherwise—at scale. This course introduces developers, DevOps engineers, and IT pros to Kubernetes. First, learn how to get a Kubernetes environment up and running on Mac or Windows using Minikube, and understand the components for Kubernetes. Next, deploy a sample Kubernetes application and manage it with the Kubernetes dashboard. Instructor Karthik Gaekwad also shows how to deploy a more complicated application with a database and APIs. Then learn how to run jobs and cron jobs. Finally, explore more advanced topics, including production deployments, namespaces, monitoring and logging, and authentication and authorization.",Course,2022-03-01 23:54 UTC,N/A,false,N/A,
Web Security: OAuth and OpenID Connect (2018),"While many technical professionals claim to know and understand OAuth, reality often suggests otherwise. Implementing the proper grant types and the required flows while securely protecting your secrets is challenging at best and catastrophic at worst. Fundamentally, professionals often struggle with OAuth because they misunderstand what it is, what use cases it is particularly good and bad at, and how to integrate it smoothly and safely into their systems. In this course, review the basics of OAuth 2.0 and OpenID Connect, and learn how to use them to authenticate your applications. Learn about tokens, scopes, and claims; OAuth flows; common security considerations; and more.",Course,2021-10-31 23:34 UTC,N/A,false,N/A,
WordPress: Speeding Up Your Site,"Slow loading speeds equal lost customers. In this course, instructor Patrick Rauland walks through steps you can take to make a typical WordPress site lightning fast. Patrick explains why speed is so important, then shows you how to check and monitor your speed. He describes how websites slow down and how to identify static and dynamic WordPress sites. Patrick goes into hosting and all the ways a good website host can speed up your site. He covers ways you can make sure media isn’t slowing down your site, such as optimizing images, using a content delivery network (CDN), and offloading audio and video files. Patrick shows you how to balance fast versus functional, in making sure plugins don’t slow down your site. After going over how to make your database more efficient, Patrick concludes with a discussion of caching and how “busting” your cache can speed up your site.",Course,2023-07-26 19:43 UTC,N/A,false,N/A,
Starting a Memorable Conversation,"Both in business and personal life, having the skill to approach a stranger or strike up a conversation with an acquaintance in a new context can be very useful. Memorable conversations can open doors and change career trajectories, but being the person to speak first doesn’t come naturally to all of us. In this course, author Tatiana Kolovou shares a formula for starting meaningful exchanges in any situation and teaches how to conduct an appropriate and memorable conversation. You can also learn about how to avoid common difficulties and find the right way to end a conversation.",Course,2021-01-10 06:29 UTC,N/A,false,N/A,
Raspberry Pi Essential Training,"In this introductory class to the Raspberry Pi, technologist Mark Niemann-Ross explains the vocabulary associated with this single-board computer, then shows you how to plug in peripherals and perform basic computing tasks. Mark first describes how the Raspberry Pi compares to other computers and how it can be used as a media server, musical instrument, robotics controller, and more. He covers the members of the Raspberry Pi family and how to select the one that is right for you and the accessories that you need to use it effectively. Mark walks you through connecting your Raspberry Pi to wi-fi and ethernet, as well as getting it started. After examining operating systems for Raspberry Pi, he goes into why a virtual networking computer (VNC) for Raspberry Pi can be very helpful and how you can enable and use one. Mark discusses sound on your Raspberry Pi and how to use and control the GPIO board. After going over Raspberry Pi hardware, he dives into the Raspberry Pico microcontroller, then finishes up with how to run the Raspberry Pi OS on other computers.
<br><br>
Note: This course was created by Mark Niemann-Ross. We are pleased to host this training in our library.",Course,2023-07-16 16:19 UTC,N/A,false,N/A,
AWS for Architects: High Availability and Continuous Deployment,"Discover how to get your apps in front of users as soon as possible—and ensure that those same apps are highly available—by leveraging continuous deployment (CD) and high availability (HA) strategies. This course shows IT pros how to use AWS CD and HA services, techniques, and tools. Instructor Lynn Langit covers key concepts around both CD and HA, including the impact of AWS regions and availability zones on HA design. She also goes over key services such as Step Functions, shows how to work with common application patterns, and discusses how to implement CD and HA. This course can also prepare you for the High Availability and Business Continuity domain in the AWS Certified Solutions Architect – Professional exam.",Course,2018-12-07 14:46 UTC,N/A,false,N/A,
Supply Chain Foundations: Analytics,"Almost everything you own or consume—food, electronics, furniture, medicine, clothes—found its way to you via a supply chain. Any problems with a supply chain can not only disrupt your life, but in the case of medicines or other vital supplies, possibly threaten it. Even when supply chains are running soothing, companies still look for ways to be even more efficient with their time, money, and resources, and that’s where supply chain analytics come in. In this course, Eddie Davila covers the fundamentals of supply chains and analytics. He takes a look at how organizations develop a supply chain analytics program, and some of the analytics tools and methods used to improve supply chains, along with a host of other topics like forecasting, supply chain mapping, supply chain disruptions, and risk management. As companies turn more and more toward data and automation, having a firm grasp on supply chain analytics can help make you a highly-coveted professional.",Course,2022-05-11 22:20 UTC,N/A,false,N/A,
Fusion 360: Designing for Metal,"If you're designing metal parts, you'll need to do things differently than you would for other materials and processes. This course shows how to use Autodesk Fusion 360—the affordable cloud-powered CAD and CAM tool that works like more expensive, industry-focused tools—to build effective designs specifically for subtractive manufacturing in metal. Thom Tremblay shows how to build solid designs, simulate how the model will hold up to the stress of production and use, render the design for presentation, and finalize it for manufacturing. The workflows showcased in this course are tailored to help the nonprofessional CAD user, and the maker, to be more effective and quickly have access to the tools that a few years ago were only available to the few and at an astronomical price.",Course,2021-09-27 19:49 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:2882171,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:2882171,Course,2021-08-21 00:48 UTC,N/A,false,N/A,
Ken Blanchard on Servant Leadership,"Self-serving leaders can be both destructive and highly ineffective. By making leadership all about them, they create a negative working environment where employees often lack the motivation to produce their best work. In this concise course, Ken Blanchard—a pioneer in the leadership space—shares his insights on servant leadership. Ken discusses practical ways for leaders to implement this approach in their organization, covering habits of servant leaders, how to create a servant leader culture, and how to manage effectively. Upon completing this course, you'll have a greater understanding of how to operate as a servant leader, and shift your focus from yourself to your employees and what you're ultimately trying to accomplish.",Course,2020-03-01 18:32 UTC,N/A,false,N/A,
Nano Tips for Developing Magnetic Charisma with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, find out why charisma is such a valuable skill and how you can develop your own charisma with ease, exploring key insights from award-winning leadership strategist and peak performance specialist Shadé Zahrai.<br><br>Gather strategies to build authentic charisma to start creating better first impressions and new connections today. Get tips on energizing others with charismatic presence and magnetic communication. Along the way, Shadé shows you techniques for using eye contact, pauses, presentation starts, tension-building tools, simplified language, genuine care, and more.",Course,2023-12-31 00:40 UTC,N/A,false,N/A,
Presentation Tips for Pitching to Investors,"Landing a meeting with investors is a big opportunity—and a key test of your business. Investors ask tough questions. The answers can define your future. This course is all about preparing and delivering a rock-solid pitch that makes people want to invest in your company. Learn how to define the unique benefits of your product, describe your business model, and tell the story of your “why.” Instructor Jessica Chen—a public speaking and media relations consultant—then introduces tips for the actual presentation, including responding to your audience, answering questions, and being authentic. She leaves you with a final pitch checklist that will ensure you have all the elements of your pitch nailed down before the big day.",Course,2020-10-08 22:29 UTC,N/A,false,N/A,
Apple Watch Tips and Tricks (2019),"Apple Watch has evolved. The latest watchOS makes it even more convenient to manage messages, activities, and notification directly from your device. But even if you wear one daily, you might not be using all of its most helpful features. Get the most out of your Apple Watch with these practical tips and tricks. Garrick Chow explores the features and capabilities of the latest Apple watchOS, including messaging, app management, voice control with Siri, staying fit and safe, and other valuable pointers. He also shows how to customize your unlock settings and haptic strength, so the Apple Watch responds perfectly to your touch.",Course,2020-11-16 23:45 UTC,N/A,false,N/A,
Artist at Work: Complementary Colors,"Take a look over the shoulder of an artist at work. Mary Jane Begin, an award-winning illustrator and Rhode Island School of Design professor, sits down at the drawing board and explains how complementary colors—colors on opposite sides of the color wheel—can make your art, illustrations, and designs more compelling and vibrant. Learn how to layer colors of different hues and translucencies, play with light and shadow, and subtract color to create a sense of form. Plus, learn to neutralize a color's intensity simply by mixing it with its complement. Mary Jane illustrates these concepts through pastel on paper, but they can be applied to all types of media including digital endeavors.<br><br>Mary Jane uses the following materials in this course:
<ul>
<li>Arches 140 lb hot press paper</li>
<li>Tube watercolors- Winsor & Newton Cotman brand</li>
<li>Paper stumps for blending</li>
<li>Pastels- a variety of stick and pencil forms (including Conte pastel pencils) </li>
<li>Short, fat, fine-bristle Winsor & Newton #2 and #4 brushes (for scrubbing color off) </li>
<li>Sceptre Gold II sable/synthetic blend #3, #6, and #10 brushes</li>
<li>Winsor & Newton Cotman brand 25 mm/1 in. flat brush (for washes) </li>
</ul>",Course,2020-04-20 16:53 UTC,N/A,false,N/A,
Java Practice: Collections,"<p>Java is a versatile, object-oriented programming language that is designed to run on a wide variety of platforms. Any machine that has a Java Virtual Machine, or JVM, can run Java apps. For that reason, Java is commonly used in a wide range of applications, including web, mobile, and desktop. Many of the apps you know and love were likely written in Java! In this course, instructor Todd Perkins, who has developed more than a dozen popular apps and games, uses a series of practical challenges to test your knowledge of Java collections and improve your programming problem-solving skills.</p>
 
<p>This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice alongside the course content to advance your programming skills.</p>",Course,2024-01-27 13:18 UTC,N/A,false,N/A,
Addiction: A Community Issue,"Addiction is a public health issue that impacts us both at work and at home. But while this problem is widespread, the stigma surrounding addiction can make seeking help a challenge. This brief course was designed to help demystify addiction and provide employees with strategies, tools, and resources for helping themselves and others in their community.<br/><br/>Dr. Srini Pillay, a Harvard-trained psychologist, details the difference between recreational behavior and addiction to help you determine whether you or someone you know should seek help. Dr. Pillay shares how to address addiction in yourself or an employee, as well as how to appraise what level of care you or others need and when to approach specific care providers. He explains how addiction can also be present in our relationships with work, technology, food, shopping, and other seemingly benign areas of life. Plus, he helps you evaluate the merits of mobile apps and other new approaches for managing addiction.",Course,2021-01-29 23:50 UTC,N/A,false,N/A,
Construction Management: Modular Construction Methods,"Modular construction is a collection of practices and techniques for constructing buildings offsite.  These factories can build walls, rooms, or entire multistory buildings using the same materials, codes, and standards as conventionally built construction. In this course, you can learn about the different types of modular construction, understand their limitations and advantages, and learn how to manage the modular construction process. Instructor Jim Rogers also explains how onsite and premanufactured processes combine and describes how to leverage modular components in a traditional construction project in order to leverage benefits such as increased sustainability.",Course,2021-05-23 05:18 UTC,N/A,false,N/A,
SQL Server Fundamentals: Master Basic Query Techniques,"Do you want to learn about SQL but aren’t sure where to start? In this beginner-level course, instructor Julianne Thouin covers basic concepts of relational database design and explains how to write simple SELECT statements using joins and proper filtering. Julianne explains what SQL Server is and what it is used for. Next, she shows how tables in a relational database relate to one another through surrogate, primary, and foreign keys. Julianne teaches you how to tackle the most basic query possible. She explains how AND and OR logic applies to filtering queries on more than one data point, then discusses INNER joins and OUTER joins. Julianne covers how to use subqueries for filtering your results. She walks you through some commonly used examples of built-in functions. In conclusion, Julianne shows you how aggregate functions work using the GROUP BY and HAVING clauses.",Course,2022-01-28 23:29 UTC,N/A,false,N/A,
How to Speak Up Against Racism at Work,"Regardless of role or level, employees often want to speak up against offensive/racist comments or questionable practices, but they don't know how to do it. In this course, Dana Brownlee, an expert in communication effectiveness and facilitation, shares specific techniques and practices that anyone can use to address these uncomfortable situations with clarity, focus, and impact.",Course,2021-11-10 16:14 UTC,N/A,false,N/A,
Coding Exercises: React.js,"You think you know React, but how deep does your knowledge really go? In this installment of Code Challenges, instructor Ali Spittel provides several challenges to help you practice your React skills to see how much you’ve learned and how much you still need to know when working with this JavaScript library. Every challenge is self-contained and can be solved using React—no need for any other libraries—and you can jump around and complete them in any order you want. In each video, Ali provides her solution—one of several possible solutions—so you can compare to see how yours stacks up.",Course,2022-08-13 16:18 UTC,N/A,false,N/A,
C#: Advanced Practices,"In this course, instructor Mika Dumont introduces you to C# advanced practices. Mika begins by defining LINQ and showing you how LINQ makes it easy to query any data source. She walks you through how LINQ composes queries written in multiple statements, or even multiple methods, into a single query operation. Mika covers how LINQ works with Entity Framework to query SQL data sources. She describes how async features make it easy to write code that describes what your code does. She goes into how the Task class helps you organize asynchronous algorithms in logical ways. She steps you through how to recover and process asynchronous error conditions from faulted tasks. Mika concludes by explaining the similarities and differences between asynchronous operations and multithreaded, how you can apply similar techniques in both contexts, and how asynchronous operations may be single-threaded.<br><br>This course was created by Microsoft.NET. We are pleased to host this training in our library.",Course,2023-06-19 23:36 UTC,N/A,false,N/A,
SOLIDWORKS: Modeling a Bicycle,"Cycling is more popular than ever, and many people are opting to build their own frames. Whether you love bikes and you want to build your own frame, or if you just want to practice your own SOLIDWORKS skills in a fun and practical way, join design engineer and avid cyclist Johno Ellison as he shows how to create a rigid bike frame based on real-life frame geometry. He shows how to create the frame, identify off-the-shelf parts such as handlebars, combine them into an assembly, and prepare drawings for the final product. Throughout the course, Johno shows some of the more practical aspects of bike building, as well as how they relate to SOLIDWORKS and CAD in general, giving you a great way to apply your modeling skills.",Course,2022-08-29 14:38 UTC,N/A,false,N/A,
Hands-On Natural Language Processing,"Dexterity at deriving insight from text data is a competitive edge for businesses and individual contributors. This course with instructor Wuraola Oyewusi is designed to help developers make sense of text data and increase their relevance. This is a hands-on course teaching practical application of major natural language processing tasks. Learn how to replicate the knowledge gained into the data that you work with. This course includes a background of each task’s process flow, use cases, and a coding demo. Some of the topics covered are named entity recognition, text summarization, topic modeling, and sentiment analysis.",Course,2022-07-04 16:07 UTC,N/A,false,N/A,
Effective Listening,"Listening is a critical competency, whether you are interviewing for your first job or leading a Fortune 500 company. Surprisingly, relatively few working professionals have ever had any formal training in how to listen effectively. In this course, communications experts Tatiana Kolovou and Brenda Bailey-Hughes show how to assess your current listening skills, understand the challenges to effective listening (such as distractions!), and develop behaviors that will allow you to become a better listener—and a better colleague, mentor, and friend.",Course,2021-01-25 23:25 UTC,N/A,false,N/A,
Solution Sales,"The modern buyer is more knowledgeable and savvy than ever before. By taking a collaborative approach with the buyer and developing solutions, instead of relying on outdated sales tactics, professional sellers can create real value for clients and subsequently close more deals. Learn the <i>solution selling</i> method, and find out how to shift the emphasis from product features to customer value.<br><br>

Leadership and revenue growth expert Scott Edinger explains what selling a solution really means and why it is vital when selling large deals or sophisticated products and services. He shows how to develop the solution-selling mindset, cultivate peer-level relationships with customers, identify real objectives, and create value. By understanding how to implement the solution-selling methodology, you can create natural and pressure-less sales interactions that accelerate revenue growth and improve customer loyalty.",Course,2019-01-04 22:10 UTC,N/A,false,N/A,
Computer and Text Neck Stretching Exercises,"Our necks bear the brunt of the stress when we spend too much time looking at screens. Taking a break is the best solution, but sometimes we can’t afford to go offline. Luckily, with simple corrections to your posture and typing habits, you can eliminate injury to this sensitive area. Join Dr. Baxter Bell for this series of exercises that can help relieve and prevent neck pain. Discover the proper way to stretch your back and neck, lengthen your neck muscles and upper spin, deepen your breath, and get the blood flowing through your body. Plus, learn a simple exercise that will benefit your neck and your wrists.<br><br>

Note: This course was created and produced by <a href=”https://www.desk-yogi.com” target=”_blank”>Desk Yogi</a>.",Course,2020-11-13 00:36 UTC,N/A,false,N/A,
SOLIDWORKS: Designing for Consumer Electronics,"Consumer electronics are all around us, and new products are created every year. In this course, instructor Johno Ellison teaches the basics of designing these items in SOLIDWORKS. Through this project-based course, he shows you how to design a game controller using SOLIDWORKS features like lofts, fillets, mirroring, and shell. Course projects include creating an assembly, adding fastening details, and even creating the buttons, joystick, and printed circuit board that go into the controller. Johno concludes with a discussion of development and potential next stages in the design process.",Course,2021-06-13 03:47 UTC,N/A,false,N/A,
Amazon Web Services: Controlling Cost (2018),"Learn how to use Amazon Web Services (AWS) tools and best practices to understand, forecast, and control service costs. This course covers core AWS tools, such as CloudWatch billing alarms, consolidated billing with AWS Organizations, and the AWS billing dashboard tools. Instructor Lynn Langit shows how to control costs through key services, such as EC2, S3, RDS, and more. She also goes over how to best leverage third-party tools, and reviews architectural decisions related to cost control drawn from her own professional experiences.",Course,2018-12-05 22:39 UTC,N/A,false,N/A,
Sales: Selling Financial Products and Services,"Financial services sales representatives face a set of unique challenges. They sell intangible products or services that involve an element of risk. To succeed, you need to build trust and connect your services with your clients' needs—and their dreams. This course helps you approach the financial services sale in a way that inspires your client's confidence and helps them realize their goals. Learn how to understand the importance of your role, engage financially active customers, and match products to their needs. Business strategist and instructor Meridith Elliott Powell also helps you have great sales conversations and create relationships that last a lifetime.",Course,2018-08-08 15:25 UTC,N/A,false,N/A,
Financial Forecasting with Big Data,"Big data is transforming the world of business. Yet many people don't understand what big data and business intelligence are, or how to apply the techniques to their day-to-day jobs. This course addresses that knowledge gap, giving businesspeople practical methods to create quick and relevant business forecasts using big data.<br><br>

Join Professor Michael McDonald and discover how to use predictive analytics to forecast key performance indicators of interest, such as quarterly sales, projected cash flow, or even optimized product pricing. All you need is Microsoft Excel. Michael uses the built-in formulas, functions, and calculations to perform regression analysis, calculate confidence intervals, and stress test your results. You'll walk away from the course able to immediately begin creating forecasts for your own business needs.",Course,2019-01-05 22:38 UTC,N/A,false,N/A,
React: Software Architecture,"Many React developers have intimate knowledge of the React API itself, but little familiarity with how to create real-world apps on a larger scale while dealing with various stakeholders. The heavy demands on web apps both from a customer and managerial perspective require that developers arrange software in an optimal way to ensure performance and maintainability. And in order to do this effectively, programmers must know how to create good software architecture. In this course, senior software developer Shaun Wassell shows you how, detailing what React developers need to know to keep their apps maintainable, performant, and compliant for the long haul. Delve into the basics of server-side rendering, state management, code splitting, and much more.",Course,2021-10-07 22:56 UTC,N/A,false,N/A,
Career Wellness Nano Tips with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds.<br><br>In this course, get some quick tips on how to better manage your work life and career. Check out some practical advice on workload prioritization, emotional self-regulation, and managing overwhelming work experiences. Also learn how to bring empathy to work, receive feedback with confidence, and even find out the real reason behind procrastination.",Course,2022-06-17 23:28 UTC,N/A,false,N/A,
Creating Great First Impressions,"First impressions matter. Whether you're walking into a meeting, interview, or negotiation, you need to know how to instantly build rapport. Luckily, the ability to make a lasting first impression isn't an innate skill; there's actually a science to it. In this course, Vanessa Van Edwards—lead investigator at Science of People, a human behavior research lab—shares research-backed strategies that can help you make the first few seconds of any interaction count. Vanessa dives into the body language that is essential to an engaging first impression, the vocal cues that help you sound confident both in person and on the phone, and the best opening lines for sparking a great conversation. Plus, get tips for changing dull small talk into a lively and memorable conversation.",Course,2020-10-21 22:36 UTC,N/A,false,N/A,
Be the Manager People Won't Leave,"<div><a href=""https://www.linkedin.com/newsletters/6457790820677410816?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Laurie's LinkedIn Newsletter</a></div><br>With the ""Great Reshuffle,"" employees are quitting their jobs at the highest rates in over 20 years, and 41% of the global workforce is considering leaving their jobs. Manager relationships are becoming the make-or-break point for whether employees stay or go. Join veteran HR leader Laurie Ruettimann as she reveals the data behind why it's more important than ever to be a manager who demonstrates empathy and inspires loyalty from the workforce. Laurie covers basics first: be someone people can trust, be an example of integrity, and be relentlessly inclusive. She steps you through ways to inspire your employees to grow. Laurie finishes up by showing you how you can help your team members love their work by being a next-level mentor, a fun-loving boss, and a leader who is genuinely invested in your employees’ well-being.",Course,2021-11-19 10:04 UTC,N/A,false,N/A,
Difficult Conversations: Talking about Race at Work,"People around the world are having difficult conversations about race and justice. But few are talking about <i>how</i> to talk about race. This has left some professionals sitting on the sidelines because they don't know what to say or how to say it. In this course, negotiation and conflict resolution expert Kwame Christian shows how to apply a useful framework to open up an effective dialogue at work and facilitate understanding. Kwame highlights the barriers that make talking about race so challenging. He then shares how to apply a framework that provides a consistent tool for how to have these conversations. Using this framework, you can acknowledge and validate emotions, use curiosity to open up dialogue, and work with others to determine what you're trying to solve. Plus, Kwame shares general tips for talking about race, including how to avoid common pitfalls and talk to your kids about race and society.",Course,2021-04-08 15:13 UTC,N/A,false,N/A,
JavaScript: Maps and Sets,"Programming languages are always evolving and changing, and JavaScript is no exception. Over time, JavaScript has grown, and many new aspects have been added, including maps and sets. JavaScript maps and sets may sound simple, but they aren't quite the same as their counterparts in other programming languages. In this course, software engineer Jamie Pittman covers the ins and outs of JavaScript maps and sets, their syntax, how they work, and how to integrate them into your daily coding practice. Topics covered include a general overview of these features, when and where to use them, their WeakMap and WeakSet versions, and the various methods and properties associated with them.",Course,2023-03-28 01:22 UTC,N/A,false,N/A,
Arduino: Prototyping,"For designers and product managers, the Arduino family of microcontrollers and easy-to-assemble components is a valuable tool for exploring and evaluating hardware product designs. Rapid, incremental prototypes can help improve outcomes and reduce cost and time in the design process. In this course, instructor Robert Gallup helps you go beyond the basics and learn what it takes to develop Arduino-based prototypes. Robert begins by providing an overview of the prototype development process, highlighting both best practices and potential pitfalls. He then steps through how to develop and refine a proof-of-concept prototype, introducing relevant concepts and techniques along the way. After this course, you'll be ready to tackle your own hardware prototyping using Arduino. <br>
Robert also includes several hands-on challenges with solutions to help you better understand the LCD, animation dynamics, and the final process of completing your prototype and modifying it in response to feedback.",Course,2022-07-12 18:12 UTC,N/A,false,N/A,
Speaking Up At Work,"Want to ensure that your best ideas are heard by the right people in your organization? Improve your ability to speak up at work. In this course, join communications and media expert Jessica Chen as she uncovers the common mental barriers that keep professionals from speaking up at work, as well as the steps you can take to actively build your authority. Jessica discusses how your childhood, cultural, and work experiences may have shaped your perception of good communication. She goes over how to ask the right questions and effectively tailor your message to suit your audience. Plus, she shares tips for showcasing your confidence, whether you're speaking to people on video or in person.",Course,2021-06-29 03:33 UTC,N/A,false,N/A,
